n_training,n_neurons,l_noise,train_algo,q_validate,q_regular,c_regular,epochs,stop,best_perf,best_vperf,best_tperf,net_true_error
1000,5,0.1,trainbfg,FALSE,TRUE,1.00E-06,373,Minimum gradient reached.,0.010272151,NaN,NaN,0.000125064
1000,5,0.1,trainlm,FALSE,TRUE,1.00E-06,9,Maximum MU reached.,0.009956221,NaN,NaN,0.000140575
1000,5,0.1,trainbfg,FALSE,FALSE,0.5,340,Minimum gradient reached.,0.010132377,NaN,NaN,1.43E-04
1000,5,0.1,trainlm,TRUE,FALSE,0.5,348,Validation stop.,0.010190388,0.010378569,NaN,0.000157086
1000,5,0.1,trainlm,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.010381072,NaN,NaN,0.000161407
1000,5,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009560581,NaN,NaN,0.000186702
1000,5,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.010337694,NaN,NaN,0.000190758
1000,10,0.1,trainbfg,FALSE,FALSE,0.5,0,Minimum gradient reached.,6.67406001,NaN,NaN,2.16E-04
1000,10,0.1,trainlm,TRUE,FALSE,0.5,28,Validation stop.,0.010471543,0.009844702,NaN,0.000226469
1000,5,0.1,trainlm,TRUE,TRUE,1.00E-06,7,Maximum MU reached.,0.009571276,0.009763646,NaN,0.000240786
1000,10,0.1,trainlm,FALSE,TRUE,1.00E-06,7,Maximum MU reached.,0.009995691,NaN,NaN,0.000248214
1000,10,0.1,trainlm,FALSE,FALSE,0.5,135,Minimum gradient reached.,0.010234137,NaN,NaN,0.000272909
1000,10,0.1,trainbfg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009481756,NaN,NaN,0.000301708
1000,20,0.1,trainbfg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.010056119,NaN,NaN,0.000399393
1000,40,0.1,trainscg,TRUE,FALSE,0.5,58,Validation stop.,0.010385301,0.010413187,NaN,0.00040061
200,5,0.1,trainbfg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.008708091,NaN,NaN,0.000404203
1000,20,0.1,trainlm,TRUE,FALSE,0.5,17,Validation stop.,0.009604925,0.010467659,NaN,0.000426896
1000,10,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.010454578,NaN,NaN,0.000433658
200,5,0.1,trainlm,FALSE,TRUE,1.00E-06,6,Maximum MU reached.,0.009763335,NaN,NaN,0.000476854
200,5,0.1,trainbfg,FALSE,TRUE,1.00E-06,440,Minimum gradient reached.,0.008280247,NaN,NaN,0.000583487
1000,10,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.010583815,NaN,NaN,0.000594578
200,10,0.1,trainbfg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.008384072,NaN,NaN,0.000604904
1000,40,0.1,trainlm,TRUE,FALSE,0.5,8,Validation stop.,0.010055269,0.010277891,NaN,0.000620589
1000,40,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009694979,NaN,NaN,0.00063535
1000,20,0.1,trainlm,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009808247,NaN,NaN,0.000658721
1000,40,0.1,trainlm,FALSE,TRUE,1.00E-06,3,Maximum MU reached.,0.009203953,NaN,NaN,0.000678303
1000,5,0.1,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009826755,NaN,NaN,0.000679815
1000,40,0.1,trainlm,TRUE,TRUE,1.00E-06,3,Maximum MU reached.,0.009457109,0.010773709,NaN,0.000682886
1000,10,0.1,trainrp,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.011134063,NaN,NaN,0.000689696
200,5,0.1,trainlm,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009263795,NaN,NaN,0.000738621
1000,40,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009315406,NaN,NaN,0.000744528
200,5,0.1,trainbfg,TRUE,TRUE,1.00E-06,82,Validation stop.,0.009368196,0.00988253,NaN,0.000745187
1000,20,0.1,trainscg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009250405,NaN,NaN,0.000759852
1000,40,0.1,trainbfg,TRUE,TRUE,1.00E-06,34,Validation stop.,0.011146559,0.01119823,NaN,0.000770201
1000,20,0.1,trainbfg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009066807,NaN,NaN,0.000770886
1000,20,0.1,trainrp,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009836365,NaN,NaN,0.000775174
1000,40,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.010762165,NaN,NaN,0.00081203
200,5,0.1,trainlm,TRUE,TRUE,1.00E-06,8,Maximum MU reached.,0.009086319,0.010767878,NaN,0.000823984
200,5,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.010358769,NaN,NaN,0.000824734
1000,10,0.1,trainlm,TRUE,TRUE,1.00E-06,5,Maximum MU reached.,0.010703328,0.010808097,NaN,0.000825473
1000,40,0.1,trainbfg,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.008929106,NaN,NaN,0.000845809
1000,10,0.1,trainrp,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.00984832,NaN,NaN,0.000863831
1000,40,0.1,trainbfg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009895128,NaN,NaN,0.000870991
1000,20,0.1,trainlm,FALSE,TRUE,1.00E-06,4,Maximum MU reached.,0.009636331,NaN,NaN,0.000921222
1000,20,0.1,trainlm,TRUE,TRUE,1.00E-06,4,Maximum MU reached.,0.009308348,0.011016225,NaN,0.000964244
1000,20,0.1,traingdx,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.009908347,NaN,NaN,0.000987272
200,5,0.1,trainlm,TRUE,FALSE,0.5,7,Minimum gradient reached.,0.009808971,0.012643327,NaN,0.001002996
200,10,0.1,trainlm,FALSE,FALSE,0.5,1000,Maximum epoch reached.,0.007386115,NaN,NaN,0.001012518
1000,20,0.1,trainscg,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.009837766,NaN,NaN,0.001014872
1000,40,0.1,trainscg,TRUE,TRUE,1.00E-06,48,Validation stop.,0.01154599,0.011059195,NaN,0.001023783
1000,5,0.1,trainbfg,TRUE,FALSE,0.5,39,Validation stop.,0.010195402,0.010422886,NaN,0.001050919
1000,20,0.1,traingdx,FALSE,TRUE,1.00E-06,1000,Maximum epoch reached.,0.010645602,NaN,NaN,0.001059451
